name,description,slug,competency,tools_languages_methodologies,learning_resources,related_skills,rank
Digitisation of text and images,"Converting physical or analog materials (such as printed documents or photographs) into digital formats making them easier to store, process and share electronically.",digitisation-of-text-and-images,data-engineering,computer-vision|optical-character-recognition-ocr|tesseract,,,130
Metadata standards,"Ability to understand and utilise metadata to ensure data quality, consistency and discoverability.",metadata-standards,data-engineering,bioschemas|codemeta|dublin-core|edam|exif|isadg|json|schema-org,what-are-metadata-standards-dcc,data-lifecycle-management|good-software-practices,100
AI/ML concepts and theory,Ability to understand and apply fundamental concepts underlying AI/ML systems and applications.,aiml-concepts-and-theory,data-science-and-analytics,classification|clustering|decision-trees|model-evaluation-and-validation|regression,,aiml-models-and-technologies,200
AI/ML models and technologies,"Ability to design, build, test, and deploy machine learning models and systems as software applications",aiml-models-and-technologies,data-science-and-analytics,apache-spark-mllib|computer-vision|embeddings|fastai|generative-adversarial-network-gan|generative-models|keras|large-language-models-llm|lightgbm|mlflow|natural-language-processing-nlp|neural-networks-and-deep-learning|pytorch|pytorch-gan|reinforcement-learning|scikit-learn|self-supervised-learning|semi-supervised-learning|supervised-learning|tensorflow|transfer-learning|unsupervised-learning|xgboost,gan-implementation-in-pytorch|google-machine-learning-crash-course|introduction-to-deep-learning-by-the-carpentries|nvidia-deep-learning-institute|research-software-engineering-sheffield-deep-learning,big-data-technologies|aiml-concepts-and-theory,210
Big data technologies,Proficiency in using big data frameworks and methodologies for managing and processing large datasets.,big-data-technologies,data-science-and-analytics,apache-spark|bigquery|hadoop,,data-analysis|data-mining|aiml-models-and-technologies,190
Data analysis,"Ability to process, analyse and interpret data using mathematical and statistical methods.",data-analysis,data-science-and-analytics,atlas-ti|data-analysis-process|excel|ggplot2|google-sheets|mathematica|matlab|matplotlib|normalisation|numpy|nvivo|pandas|python|r|sas|seaborn|spreadsheets|spss|stata,data-visualisation-the-turing-way|plotting-and-programming-in-python,data-visualisation|data-mining|big-data-technologies|programming|research-methodologies,160
Data mining,"Ability to discover patterns and insights from large sets of data, using techniques from statistics, machine learning and database systems. ",data-mining,data-science-and-analytics,nvivo|scikit-learn,,data-analysis|big-data-technologies,180
Data visualisation,Ability to facilitate understanding of data and communicate data analysis findings effectively through visual representations.,data-visualisation,data-science-and-analytics,data-and-information-visualisation-process,,data-analysis|programming|research-methodologies,170
APIs,Ability design and use Application Programming Interfaces (APIs) that effectively facilitate communication between different software systems.,apis,software-engineering,,,,570
Code review,"Ability to effectively evaluate and improve the quality of code by understanding the code structure, logic as well as soft skills like clear communication and constructive feedback",code-review,software-engineering,pair-programming|pull-requests,how-to-make-good-code-reviews-better|mini-toolkit-code-review-anxiety-workbook,,410
